Name:,ps3 Bluetooth Adapter,,,,v9.21,,,,,,,,CURRENT DATA
Circle,108,,move,,,,,,,,,,2E
Cross,199,,play,42 - play,,,,,,,,,0C
Square,171,,pause,44 - pause,,,,,,,,,0F
PS,125,,rewind,,Power needs to be held for power off,,,,,,,,0B
Select,117,,fast fwd,,,,,,,,,,0D
Start,126,,stop,43 - stop,,,,,,,,,0E
L1,024,,record,,,,,,,,,,10
L2,120,,exit,,,,,,,,,,2B
L3,121,,surround,,,,,,,,,,30
R1,092,,,,,,,,,,,,
R2,056,,,,,,,,,,,,
R3,113,,,,,,,,,,,,
Play,052,,,,,,,,,,,,
Stop,119,,,,,,,,,,,,
Pause,123,,,,,,,,,,,,
Rew,212,,,,,,,,,,,,
F.Fwd,084,,,,,,,,,,,,
Chp -,210,,,,,,,,,,,,
Chp +,234,,,,,,,,,,,,
Slo -,218,,,,,,,,,,,,
Slo +,122,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3A
,,,phantom2,,,,,,,,,,3B
,,,phantom3,,,,,,,,,,3C
,,,phantom4,,,,,,,,,,3D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,20
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,1s,,,,,,,,,,21
,,,2s,,,,,,,,,,22
,,,3s,,,,,,,,,,23
,,,4s,,,,,,,,,,24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Upgrade protocol 0 = 00 66 (S3C8+) KatherinLike (PB v4.01),,,,,,,,,,,,,
 42 89 11 8B 12 E5 44 04 08 00 C8 00 EB 00 C8 01 ,,,,,,,,,,,,,
 D6 A8 8E 07 C3 08 B1 F6 01 46 E4 19 29 C6 C0 01 ,,,,,,,,,,,,,
 21 F6 01 0D F6 01 0A FD FF 35 00 29 ED FF 1D E6 ,,,,,,,,,,,,,
 29 45 8D 01 46 AF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Upgrade protocol 0 = 00 66 (HCS08) KatherinLike (PB v4.01),,,,,,,,,,,,,
 20 15 22 46 11 E5 2C 04 08 00 C8 00 FF 00 C8 01 ,,,,,,,,,,,,,
 EA A8 8E 07 C3 08 C5 CD FF 5F 45 11 00 CD FF 74 ,,,,,,,,,,,,,
 CD FF 92 24 09 3B A3 F2 6E 45 A3 CC FF 5F 81,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
