Name:,Sigma Designs Real Magic,,,,v7.48a,,,,,,,CURRENT DATA
num 9,028,,9,09 - num 9,,,,,,,,
Angle,011,,vol up,,,,,,,,,
Down Arrow,006,,vol down,,,,,,,,,
Eject,016,,mute,,,,,,,,,
Enter,084,,channel up,30 - Track Forward,,,,,,,,
Language,010,,channel down,29 - Track Back,,,,,,,,
Left Arrow,004,,power,20 - Power Toggle,,,,,,,,
Menu,007,,enter,13 - enter,,,,,,,,
OK,005,,tv/video,32 - VGA/TV,,,,,,,,
OSD,009,,last,,,,,,,,,
play / pause,013,,menu,16 - menu,,,,,,,,
Power Toggle,000,,guide,21 - Program,,,,,,,,
Program,001,,up arrow,31 - up arrow,,,,,,,,
Right Arrow,003,,down arrow,11 - down arrow,,,,,,,,
Scan Backward,017,,left arrow,15 - left arrow,,,,,,,,
Scan Forward,018,,right arrow,22 - right arrow,,,,,,,,
Step Forward,015,,select,17 - OK,,,,,,,,
Stop,014,,sleep,,,,,,,,,
Subtitle,012,,pip,,,,,,,,,
Title,008,,info,18 - OSD,,,,,,,,
Track Back,019,,swap,,,,,,,,,
Track Forward,020,,move,,,,,,,,,
Up Arrow,002,,play,19 - play / pause,,,,,,,,
VGA/TV,072,,pause,19 - play / pause,,,,,,,,
,,,rewind,23 - Scan Backward,,,,,,,,
Up Arrow2,021,,fast fwd,24 - Scan Forward,,,,,,,,
Down Arrow2,025,,stop,26 - stop,,,,,,,,
,,,record,,,,,,,,,
unknown1,029,,exit,12 - Eject,,,,,,,,
unknown2,030,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,eject,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,DiscreteON,,,,,,,,,
,,,DiscreteOFF,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
