Name:,HP-DE 100C,,,,v7.37,,,,,,,CURRENT DATA
num 9,,,9,,,,,,,,,
vol up,,,vol up,,,,,,,,,
vol down,,,vol down,,,,,,,,,
mute,,,mute,,,,,,,,,
channel up,014,,channel up,00 - channel up,,,,,,,,
channel down,019,,channel down,01 - channel down,,,,,,,,
power,001,,power,02 - power,,,,,,,,
enter,016,,enter,03 - enter,,,,,,,,
tv/vcr,,,tv/video,,,,,,,,,
last (prev ch),012,,last,04 - last (prev ch),,,,,,,,
menu,,,menu,10 - display,,,,,,,,
program guide,,,guide,21 - i-Guide,,,,,,,,
up arrow,013,,up arrow,05 - up arrow,,,,,,,,
down arrow,018,,down arrow,06 - down arrow,,,,,,,,
left arrow,015,,left arrow,07 - left arrow,,,,,,,,
right arrow,017,,right arrow,08 - right arrow,,,,,,,,
select,016,,select,09 - select,,,,,,,,
sleep,,,sleep,23 - Add,,,,,,,,
pip on/off,,,pip,18 - Library,,,,,,,,
display,008,,info,17 - Now Playing,,,,,,,,
pip swap,,,swap,20 - CD,,,,,,,,
pip move,,,move,19 - i-Radio,,,,,,,,
play,021,,play,11 - play,,,,,,,,
pause,025,,pause,12 - pause,,,,,,,,
rewind,020,,rewind,13 - rewind,,,,,,,,
fast fwd,022,,fast fwd,14 - fast fwd,,,,,,,,
stop,024,,stop,15 - stop,,,,,,,,
record,023,,record,16 - record,,,,,,,,
exit,,,exit,22 - Home,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,25 - Options,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,prev track,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,freeze,24 - Shuffle/Repeat,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
X2,,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
Now Playing,002,,phantom1,,,,,,,,,
Library,003,,phantom2,,,,,,,,,
i-Radio,004,,phantom3,,,,,,,,,
CD,005,,phantom4,,,,,,,,,
i-Guide,006,,phantom5,,,,,,,,,
Home,007,,DiscreteON,26 - Discrete ‘on’ code,,,,,,,,
Add,009,,DiscreteOFF,27 - Discrete ‘off’ code,,,,,,,,
Shuffle/Repeat,010,,phantom8,,,,,,,,,
Options,011,,phantom9,,,,,,,,,
Discrete ‘on’ code,036,,phantom10,,,,,,,,,
Discrete ‘off’ code,037,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
