Name:,Pioneer CLD-M450 (Laserdisc/CD chgr),,,,v9.19,,,,,,,,CURRENT DATA
Jog Forward x2*,033,,select,21 - edit,not on OEM remote,,,,,,,,35
Jog Forward x3*,034,,angle/sleep,,not on OEM remote,,,,,,,,26
Jog Forward x4*,035,,pip,,not on OEM remote,,,,,,,,2F
Jog Reverse*,036,,info,47 - Display,not on OEM remote,,,,,,,,18
Jog Reverse x2*,037,,swap,,not on OEM remote,,,,,,,,20
Jog Reverse x3*,038,,move,,not on OEM remote,,,,,,,,30
Jog Reverse x4*,039,,play,18 - play,not on OEM remote,,,,,,,,0C
shuttle forward,040,,pause (yellow),19 - pause,,,,,,,,,0F
shuttle forward x2,041,,rewind,14 - rewind,,,,,,,,,0B
shuttle forward x3,042,,fast fwd,13 - fast forward,,,,,,,,,0D
shuttle forward x4,043,,stop,17 - Stop/Eject,,,,,,,,,0E
shuttle back,044,,record,,,,,,,,,,10
shuttle back x2,045,,exit,49 - Clear,,,,,,,,,24
shuttle back x3,046,,,,,,,,,,,,
shuttle back x4,047,,,,,,,,,,,,
CD Disc 1,049,,,,,,,,,,,,
CD Disc 2,050,,,,,,,,,,,,
CD Disc 3,051,,,,,,,,,,,,
CD Disc 4,052,,next track,61 - Skip >>|,,,,,,,,,2B
CD Disc 5,053,,prev track,62 - Skip |<<,,,,,,,,,2A
Frame/Time Search*,065,,,,not on OEM remote,,,,,,,,
search memory*,066,,,,not on OEM remote,,,,,,,,
Display,067,,,,,,,,,,,,
Repeat (B),068,,slow,,,,,,,,,,2E
Clear,069,,,,,,,,,,,,
Multi-Speed -,070,,,,,,,,,,,,
Multi-Speed +,071,,,,,,,,,,,,
Repeat A*,072,,,,not on OEM remote,,,,,,,,
2/R ch*,073,,,,not on OEM remote,,,,,,,,
Stereo*,074,,,,not on OEM remote,,,,,,,,
1/L ch*,075,,phantom1,,not on OEM remote,,,,,,,,3D
Program,076,,phantom2,,,,,,,,,,3E
A*,077,,phantom3,,not on OEM remote,,,,,,,,3F
B*,078,,phantom4,,not on OEM remote,,,,,,,,40
C*,079,,,,not on OEM remote,,,,,,,,
step -,080,,,,,,,,,,,,
Skip >>|,082,,,,,,,,,,,,
Skip |<<,083,,,,,,,,,,,,
step +,084,,,,,,,,,,,,
Multi-Speed <,085,,,,,,,,,,,,
D*,087,,setup,,not on OEM remote,,,,,,,,02
Multi-Speed >,088,,,,,,,,,,,,
still / strobe*,091,,,,not on OEM remote,,,,,,,,
digital effect*,092,,,,not on OEM remote,,,,,,,,
1shot memory*,093,,,,not on OEM remote,,,,,,,,
random play,094,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,subtitle,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,PVR menu (blue),56 - Program,,,,,,,,,36
,,,replay,48 - Repeat (B),,,,,,,,,27
,,,advance,,,,,,,,,,29
,,,,,,,,,,,,,
,,,thumbs up (green),63 - step +,,,,,,,,,2C
,,,thumbs down (red),60 - step -,,,,,,,,,2D
,,,audio/CC,10 - audio digital / analog (CX),,,,,,,,22 - Audio,37
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Standard Pioneer Laserdisc upgrade that includes CD changer,,,,,,,,,,,,,
functions for CLD-M5/90/301/401/403/430/460 combination ,,,,,,,,,,,,,
LD player-5 CD changers.  I have included all other Pioneer 168,,,,,,,,,,,,,
"Laserdisc functions gleaned from other upgrades that I could find,",,,,,,,,,,,,,
many of which do nothing on the 450.  (Obviously the side A/B/Disc,,,,,,,,,,,,,
Side Toggle functions only may apply to those players that can ,,,,,,,,,,,,,
"play both sides of an LD, whilst the side C/D functions would ",,,,,,,,,,,,,
only apply to the 2-disc LD players).,,,,,,,,,,,,,
,,,,,,,,,,,,,
OEM remote refers to CU-CLD063 Pioneer LaserDisc SR remote.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
