Name:,Marantz CD player,,,,v9.08,,,,,,,CURRENT DATA
num 4,004,0,4,04 - num 4,,,,,,,,
num 5,005,0,5,05 - num 5,,,,,,,,
num 6,006,0,6,06 - num 6,,,,,,,,
num 7,007,0,7,07 - num 7,,,,,,,,
num 8,008,0,8,08 - num 8,,,,,,,,
num 9,009,0,9,09 - num 9,,,,,,,,
Time,011,0,vol up,,,,,,,,,
POWER,012,0,vol down,,,,,,,,,
Recall,015,0,mute,,,,,,,,,
channel up,016,0,channel up,13 - channel up,,,,,,,,
channel down,017,0,channel down,14 - channel down,,,,,,,,
random,028,0,power,11 - POWER,,,,,,,,
Repeat,029,0,enter,30 - ENTER,,,,,,,,
ARROW UP,030,0,tv/vid,37 - A-B,,,,,,,,
ARROW DOWN,031,0,prev,12 - Recall,,,,,,,,
Next,032,0,menu,27 - Program/Memo,,,,,,,,
Previous,033,0,guide,,,,,,,,,
ARROW RIGHT,034,0,up arrow,17 - ARROW UP,,,,,,,,
ARROW LEFT,035,0,down arrow,18 - ARROW DOWN,,,,,,,,
Pitch Reset,037,0,left arrow,22 - ARROW LEFT,,,,,,,,
Pitch Up,038,0,right arrow,21 - ARROW RIGHT,,,,,,,,
Pitch Down,039,0,select,39 - SELECT,,,,,,,,
edit,040,0,sleep,,,,,,,,,
Program/Memo,041,0,pip,,,,,,,,,
AMS,043,0,info,38 - display,,,,,,,,
Open/Close,045,0,swap,,,,,,,,,
ENTER,047,0,move,,,,,,,,,
pause,048,0,play,35 - play,,,,,,,,
Clear,049,0,pause,31 - pause,,,,,,,,
rewind,050,0,rewind,33 - rewind,,,,,,,,
fast fwd,052,0,fwd,34 - fast fwd,,,,,,,,
play,053,0,stop,36 - stop,,,,,,,,
stop,054,0,record,29 - Open/Close,,,,,,,,
A-B,059,0,exit,32 - Clear,,,,,,,,
display,071,1,surround,,,,,,,,,
SELECT,108,1,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,19 - Next,,,,,,,,
,,,f rew,20 - Previous,,,,,,,,
,,,com/skip,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
