Name:,Samsung -DVD/VCR/MCard V8500,,,,v9.05,,,,,,,CURRENT DATA
Memory Card (MC select/DVD mode),219,,pip on/off,,,,,,,,,
info,246,,info,28 - info,,,,,,,,39 - subtitle
VCR (select VCR),085,,pip swap,,,,,,,,,
DVD (select DVD),104,,pip move,,,,,,,,,
play / pause,249,,play,31 - play / pause,,,,,,,,41 - angle / timer
clear,153,,pause,31 - play / pause,,,,,,,,38 - EZ view / speed
rewind,245,,rewind,33 - rewind,,,,,,,,40 - mode / repeat
fast fwd,247,,fast fwd,34 - fast fwd,,,,,,,,42 - mark / search
stop,120,,stop,35 - stop,,,,,,,,43 - open / close
record,116,,record,36 - record,,,,,,,,
return / exit,248,,exit,37 - return / exit,,,,,,,,32 - clear
EZ view / speed,023,,surround,,,,,,,,,
subtitle,215,,input,,,,,,,,,
mode / repeat,198,,+100,,,,,,,,,
angle / timer,168,,fav,,,,,,,,,
mark / search,091,,device button,,,,,,,,,
open / close,151,,page up,,,,,,,,,
,,,page down,,,,,,,,,
,,,day up,,,,,,,,,
,,,day down,,,,,,,,,
,,,a,,,,,,,,,
,,,b,,,,,,,,,
,,,c,,,,,,,,,
,,,lock,,,,,,,,,
,,,help,,,,,,,,,
,,,bypass,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,F1,,,,,,,,,
,,,F2,,,,,,,,,
,,,F3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Workable mapping for the Samsung model: DVD - V8500,,,,,,,,,,,,,
"combination DVD player, VCR (play and record),",,,,,,,,,,,,,
 and memory card player (digital camera cards),,,,,,,,,,,,,
derived from the,,,,,,,,,,,,,
Samsung OEM Remote: 00008X,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Closest UEI Device Type: unknown  (none of them work well),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
*** Version 1.0,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
