Name:,Pioneer DVR RT400 VCR/DVD-R/RW combo,,,,v8.31,,,,,,,CURRENT DATA
CM Skip,173,3,tv/vid,23 - DVD/VCR,Skips ahead 30 sec,,,,,,,
Input Sel,174,3,prev,54 - Return,On Pioneer unit,,,,,,,
Zoom,234,3,menu,38 - Setup,,,,,,,,
Clock/Count,237,3,guide,39 - Top/Title Men,Switch Clock and Counter,,,,,,,
Zero Return,251,3,up arrow,52 - CH+/up,Return to zero mark on tape,,,,,,,
Vid Eject,252,3,down arrow,53 - CH-/down,,,,,,,,
DVD/VCR,253,3,left arrow,25 - Trk-/left,Toggle between VCR and DVD,,,,,,,
Subtitle/ATR,054,1,right arrow,26 - Trk+/right,,,,,,,,
Trk-/left,099,1,select,51 - Enter,Tracking and cursor,,,,,,,
Trk+/right,100,1,angle/sleep,40 - Counter Res,Tracking and cursor,,,,,,,
Repeat,127,1,pip,,Full tape / disc repeat,,,,,,,
0,160,1,info,48 - Display,,,,,,,,
1,161,1,swap,,,,,,,,,
2,162,1,move,,,,,,,,,
3,163,1,play,02 - Play,,,,,,,,
4,164,1,pause,03 - Pause,,,,,,,,
5,165,1,rewind,05 - Rew,,,,,,,,
6,166,1,fast fwd,04 - Ffwd,,,,,,,,
7,167,1,stop,00 - Stop1,,,,,,,,
8,168,1,record,08 - Record,,,,,,,,
9,169,1,exit,49 - Cancel,,,,,,,,
Setup,176,1,surround,,Main Menu,,,,,,,
Top/Title Men,180,1,audio/CC,47 - Audio Select,u,,,,,,,
Counter Res,181,1,+100,,Zero the tape counter   Angle in DVD Mode,,,,,,,
DVD Op/Cl,182,1,fav/scan,,Open/Close DVD Drawer,,,,,,,
Slow Play,183,1,device button,,,,,,,,,
DVD Menu,185,1,advance,17 - CM Skip,,,,,,,,
Discrete On,186,1,replay,16 - 10sec Rep,,,,,,,,
Discrete Off,187,1,next track,06 - Index/Skip+,,,,,,,,
Power,188,1,prev track,07 - Index/Skip-,,,,,,,,
Audio Select,190,1,PVR menu,43 - DVD Menu,"NICAM, MonoL, MonoR, etc",,,,,,,
Display,227,1,subtitle,24 - Subtitle/ATR,,,,,,,,
Cancel,229,1,slow,42 - Slow Play,Used in menus,,,,,,,
Repeat A-B,232,1,thumbs up,44 - Discrete On,,,,,,,,
Enter,239,1,thumbs down,45 - Discrete Off,,,,,,,,
CH+/up,242,1,x2,,Channel and cursor,,,,,,,
CH-/down,243,1,center,,Channel and cursor,,,,,,,
Return,244,1,rear,,Return to previous menu,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
