Name:,Samsung DVD-V7070,,,,v9.19,,,,,,,,CURRENT DATA
zoom,058,,,,,,,,,,,,
audio,104,,,,,,,,,,,,
angle,089,,,,,,,,,,,,
digest/frame adv/skip,000,,,,,,,,,,,,
return,061,,,,,,,,,,,,
title/speed,096,,,,,,,,,,,,
subtitle/timer,034,,,,,,,,,,,,
mark/search,043,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
*bottom*,,,,,,,,,,,,,
,,,,,,,,,,,,,
clk/cnt,051,,phantom1,,,,,,,,,,3A
input toggle,036,,phantom2,,,,,,,,,,3B
input toggle,036,,phantom3,,,,,,,,,,3C
slow+,019,,phantom4,,,,,,,,,,3D
slow-,023,,,,,,,,,,,,
tracking+,044,,,,,,,,,,,,
tracking-,045,,,,,,,,,,,,
strobe/art+,118,,,,,,,,,,,,
strobe/art-,120,,,,,,,,,,,,
eject,032,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
auto tracking,033,,light,,,,,,,,,,20
index,043,,,,,,,,,,,,
timer,059,,,,,,,,,,,,
art,062,,,,,,,,,,,,
picture,117,,,,,,,,,,,,
monitor,113,,,,,,,,,,,,
a.dub,046,,1s,,,,,,,,,,21
jog?,122,,2s,,,,,,,,,,22
,,,3s,,,,,,,,,,23
,,,4s,,,,,,,,,,24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
