Name:,beyonwiz box,,,,v8.31,,,,,,,CURRENT DATA
num 6,022,,6,06 - num 6,,,,,,,,
num 7,023,,7,07 - num 7,,,,,,,,
num 8,024,,8,08 - num 8,,,,,,,,
num 9,025,,9,09 - num 9,,,,,,,,
vol up,002,,vol up,,,,,,,,,
vol down,003,,vol down,,,,,,,,,
mute,012,,mute,12 - mute,,,,,,,,
channel up,000,,channel up,13 - channel up,,,,,,,,
channel down,001,,channel down,14 - channel down,,,,,,,,
power,010,,power,15 - power,,,,,,,,
popup menu,026,,auto,,,,,,,,,
program/guide,067,,tv/vcr,,,,,,,,,
display/info,029,,prev ch,,,,,,,,,
exit,028,,menu,,,,,,,,,
up arrow,078,,guide,,,,,,,,,
down arrow,079,,up arrow,20 - up arrow,,,,,,,,
left arrow,083,,down arrow,21 - down arrow,,,,,,,,
right arrow,084,,left arrow,22 - left arrow,,,,,,,,
file play,068,,right arrow,21 - down arrow,,,,,,,,
list,076,,enter,19 - exit,,,,,,,,
tv/vcr,,,sleep,26 - sleep,,,,,,,,
last/prev ch,,,pip on/off,,,,,,,,,
sleep,027,,display,,,,,,,,,
play,075,,pip swap,,,,,,,,,
pause,070,,pip move,,,,,,,,,
rewind,069,,play,27 - play,,,,,,,,
fast fwd,072,,pause,28 - pause,,,,,,,,
stop,029,,rewind,29 - rewind,,,,,,,,
record,094,,fast fwd,30 - fast fwd,,,,,,,,
f.fwd/next track,005,,stop,31 - stop,,,,,,,,
f.rew/prev track,004,,record,32 - record,,,,,,,,
+100,,,exit,19 - exit,,,,,,,,
red,077,,surround,,,,,,,,,
green,001,,av,,,,,,,,,
yellow,013,,+10,,,,,,,,,
blue,014,,fav/scan,,,,,,,,,
slow fwd,077,,device button,,,,,,,,,
tv/radio,085,,next track,,,,,,,,,
tv out,066,,sp/lp,,,,,,,,,
eject,064,,shift-left,,,,,,,,,
setup,007,,shift-right,,,,,,,,,
wiztv,082,,a,,,,,,,,,
live,008,,b,,,,,,,,,
fav,009,,c,,,,,,,,,
OK,031,,color+ ($_vol+),,,,,,,,,
recall,030,,color- ($_vol-),,,,,,,,,
slow fwd,077,,bright+ ($_ch+),,,,,,,,,
zoom,080,,bright- ($_ch-),,,,,,,,,
subtitle,071,,d,,,,,,,,,
teletext,081,,e,,,,,,,,,
audio out,073,,f,,,,,,,,,
,,,g,,,,,,,,,
,,,h,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,descreteOFF,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
