Name:,Interact-TV DVR,,,,v8.25,,,,,,,CURRENT DATA
2,59 25 20,,input,,Break,,,,,,,
3,2C A5 20,,+100,,Break,,,,,,,
4,99 15 20,,fav/scan,,Break,,,,,,,
5,4C 95 20,,device button,,Break,,,,,,,
6,26 55 20,,next track,,Break,,,,,,,
7,8C 8D 20,,prev track,,Break,,,,,,,
8,46 4D 20,,shift-left,,Break,,,,,,,
9,23 2D 20,,shift-right,,Break,,,,,,,
Pwr,E4 45 20,,pip freeze,,Break,,,,,,,
Video,72 45 20,,slow,,Break,,,,,,,
Options,39 45 20,,eject,,Break,,,,,,,
Mute,1C C5 20,,slow+,,Break,,,,,,,
Vol+,16 65 20,,slow-,,Break,,,,,,,
Vol-,13 35 20,,x2,,Break,,,,,,,
CH+,11 9D 20,,center,,Break,,,,,,,
Info,D2 22 48,,rear,,Break,,,,,,,
Enter,34 A2 48,,phantom1,,Break,,,,,,,
1 ??,1A 62 48,,phantom2,,Break,,,,,,,
Menu,A9 12 48,,phantom3,,Break,,,,,,,
Guide,54 92 48,,phantom4,,Break,,,,,,,
Select,2A 52 48,,discreteON,,Break,,,,,,,
Up,94 8A 48,,discreteOFF,,Break,,,,,,,
Left,15 32 48,,phantom7,,Break,,,,,,,
Right,4A 4A 48,,phantom8,,Break,,,,,,,
Down,12 9A 48,,phantom9,,Break,,,,,,,
Stack,22 96 48,,phantom10,,Break,,,,,,,
Back,45 26 48,,setup,,Break,,,,,,,
Prev,11 4E 48,,light,,Break,,,,,,,
Play,64 91 24,,theater,,Break,,,,,,,
REW,C9 11 24,,macro1,,Break,,,,,,,
FWD,32 51 24,,macro2,,Break,,,,,,,
REC,19 31 24,,macro3,,Break,,,,,,,
Stop,A4 89 24,,macro4,,Break,,,,,,,
Pause,52 49 24,,1s,,Break,,,,,,,
,,,2s,,,,,,,,,
,,,3s,,,,,,,,,
,,,4s,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Upgrade protocol 0 = 01 FE (S3C8),,,,,,,,,,,,,
 43 8C 13 8B 12 8D 04 08 08 00 E2 00 CE 00 00 00 ,,,,,,,,,,,,,
 5D 13 88 01 CC 00 CB 8D 01 46 ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
