Name:,Topfield TF7100 HD PVRt Plus,,,,v9.20,,,,,,,,CURRENT DATA
left arrow,187,,right arrow,24 - right arrow,,,,,,,,,27
right arrow,183,,ok,16 - OK/enter/select,,,,,,,,,14
File List,105,,sleep,45 - sleeptimer,,,,,,,,,83
Green,107,,,,,,,,,,,,
Yellow,106,,,,,,,,,,,,
Blue,235,,,,,,,,,,,,
play,166,,,,,,,,,,,,
pause,182,,play,29 - play,,,,,,,,,0C
rewind,168,,pause,30 - pause,,,,,,,,,0F
teletext,170,,rewind,31 - rewind,,,,,,,,,0B
fast fwd,037,,fast fwd,33 - fast fwd,,,,,,,,,0D
slow motion,041,,stop,35 - stop,,,,,,,,,0E
stop,039,,record,36 - record,,,,,,,,,10
record,043,,exit,37 - exit,,,,,,,,,23
exit,244,,,,,,,,,,,,
Service List,057,,av,25 - File List,,,,,,,,,22
White,036,,-/--,44 - info,,,,,,,,,20
Red,234,,,,,,,,,,,,
next track,103,,,,,,,,,,,,
filelist2,105,,skip+,41 - next track,,,,,,,,,0A
prev track,101,,skip-,43 - prev track,,,,,,,,,09
info,248,,,,,,,,,,,,
sleeptimer,164,,,,,,,,,,,,
,,,,,,,,,,,,,
subtitletrack,186,,,,,,,,,,,,
Audio,184,,,,,,,,,,,,
radiotoggle,180,,bright+,,,,,,,,,,86
Aspect Ratio,171,,bright-,,,,,,,,,,87
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,magic,,,,,,,,,,02
,,,light/esc,,,,,,,,,,01
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,LCDEnter,,,,,,,,,,13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,A,39 - White,,,,,,,,,2D
,,,B,47 - Audio,,,,,,,,,2E
,,,C,11 - vol down,,,,,,,,,2F
,,,D,10 - vol up,,,,,,,,,30
,,,yellow,27 - Yellow,,,,,,,,,2B
,,,blue,28 - Blue,,,,,,,,,2C
,,,red,40 - Red,,,,,,,,,29
,,,green,26 - Green,,,,,,,,,2A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,16/9,49 - Aspect Ratio,,,,,,,,,18
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,color+,,,,,,,,,,84
,,,color-,,,,,,,,,,85
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
