Name:,a1 Humax iVPR 9200 play 1294,,,,v9.05,,,,,,,CURRENT DATA
vol up,250,,mute,,,,,,,,,
vol down,165,,channel up,15 - channel up,,,,,,,,
mute,245,,channel down,16 - channel down,,,,,,,,
channel up,037,,on/off,33 - power on off,,,,,,,,
channel down,041,,enter,,,,,,,,,
menu,054,,tv/vcr,,,,,,,,,
guide,251,,go back,,,,,,,,,
exit OSD screens,118,,menu,17 - menu,,,,,,,,
back 1lev mnu,169,,guide,18 - guide,,,,,,,,
info chan and prog,071,,up arrow,29 - forward,,,,,,,,
Up,121,,down arrow,27 - rewind,,,,,,,,
Down,120,,left arrow,24 - Left,,,,,,,,
Left,119,,right arrow,25 - Right,,,,,,,,
Right,116,,select,,,,,,,,,
OK and ch list,123,,sleep,,,,,,,,,
rewind,203,,pip on/off,,,,,,,,,
play,040,,info,,,,,,,,,
forward,199,,pip swap,,,,,,,,,
record,038,,pip move,,,,,,,,,
pause,039,,play,28 - play,,,,,,,,
stop,201,,pause,31 - pause,,,,,,,,
power on off,181,,rewind,27 - rewind,,,,,,,,
list channels,058,,fast fwd,29 - forward,,,,,,,,
list rec progs,196,,stop,32 - stop,,,,,,,,
yellow skip 30 sec,247,,record,30 - record,,,,,,,,
blue sort chan,246,,clear,,,,,,,,,
Power off discrete,189,,surround,,,,,,,,,
source of TV,183,,input,,,,,,,,,
TV/Radio,056,,+100,,,,,,,,,
wide,075,,fav/scan,,,,,,,,,
sleep time,074,,device button,,,,,,,,,
slow motion,197,,next track,,,,,,,,,
A-B repeat block,200,,prev track,,,,,,,,,
add bookmark,202,,shift-left,,,,,,,,,
bookmark list,069,,shift-right,,,,,,,,,
soundtrack,070,,pip freeze,,,,,,,,,
subtitles,072,,slow,,,,,,,,,
teletext,073,,eject,,,,,,,,,
double,068,,slow+,,,,,,,,,
pip on/off,167,,slow-,,,,,,,,,
pip ch list,168,,x2,,,,,,,,,
pip ch up,166,,center,,,,,,,,,
game,122,,rear,,,,,,,,,
pip move pos,164,,phantom1,,,,,,,,,
pip swap main pip,171,,phantom2,,,,,,,,,
pip ch down,170,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,code search,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
