Name:,DishPVR 721,,,,v8.14,,,,,,,CURRENT DATA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
"DishPVR 721 uses two device ids, both with the dishplayer(old)",,,,,,,,,,,,,
protocol. This combined device upgrade maps both with a single,,,,,,,,,,,,,
upgrade.,,,,,,,,,,,,,
,,,,,,,,,,,,,
key mappings are as follows:,,,,,,,,,,,,,
most functions are mapped to their exact buttons except,,,,,,,,,,,,,
"menu=PVR, shift-menu=menu",,,,,,,,,,,,,
"+100=*, Enter=#/search (position on platinum remote)",,,,,,,,,,,,,
"page up=TV/Video, page down=Sleep skip-7=Ch-, ship+30=ch+",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"not mapped: TV/Video, Dish button, Red button, view/live",,,,,,,,,,,,,
,,,,,,,,,,,,,
"fixed data byte 1 sets SatID 1(00), 2(80), 3(40), 4(C0), 5(20), 6(A0), 7(60)",,,,,,,,,,,,,
"8(E0), 9(10) 10(90), 11(50), 12(D0), 13(30), 14(B0), 15(70), 16(F0)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note: Discrete on seems to not work on the 721,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
