Name:,SONY Minisystem RXD10AV 1575,,,,v8.11,,,,,,,CURRENT DATA
T.TONE ON/OFF,074,5 18,select,01 - FUNCTION,12*18,,,,,,,
DSP,070,5 12,sleep,,12*12,,,,,,,
CENTER LEVEL +,084,5 18,pip,,12*18,,,,,,,
CENTER LEVEL -,085,5 18,display,,12*18,,,,,,,
REAR LEVEL +,078,5 18,swap,,12*18,,,,,,,
REAR LEVEL -,079,5 18,move,,12*18,,,,,,,
VOLUME +,018,5 16,play,03 - CD PLAY,12*16,,,,,,,
VOLUME -,019,5 16,pause,13 - PAUSE,12*16,,,,,,,
FUNCTION -,106,5 12,rewind,14 - REWIND,12*12,,,,,,,11 - TUNING - / SKIP BACK
POWER2,021,5 12,fast fwd,15 - FAST FORWARD,,,,,,,,10 - TUNING + / SKIP FORWARD
VOLUME - 2,019,5 12,stop,12 - STOP,,,,,,,,
DDFD,090,5 12,record,,,,,,,,,
DDFD 2,177,5 12,exit,08 - CLEAR,,,,,,,,
EFFECT,168,5 12,surround,,,,,,,,,
PRO LOGIC ON/OFF 2,185,5 12,input,FUNCTION,,,,,,,,
CD PLAY 2,242,5 12,+100,,,,,,,,,
0,000,5 13,fav/scan,,,,,,,,,
1,001,5 13,device button,,,,,,,,,
2,002,5 13,next track,,,,,,,,,
3,003,5 13,prev track,,,,,,,,,
4,004,5 13,shift-left,,,,,,,,,
5,005,5 13,shift-right,,,,,,,,,
6,006,5 13,pip freeze,,,,,,,,,
7,007,5 13,slow,,,,,,,,,
8,008,5 13,eject,,,,,,,,,
9,009,5 13,slow+,,,,,,,,,
TUNING - / SKIP BACK 2,017,5 13,slow-,,,,,,,,,
DISPLAY STATION TOGGLE,166,5 13,x2,,,,,,,,,
DIRECTION,020,5 14,center,,,,,,,,,
PRO LOGIC ON/OFF 3,017,5 14,rear,,,,,,,,,
TAPE 1,185,5 14,phantom1,19 - FILE SELECT UP,,,,,,,,
TAPE 2,180,5 14,phantom2,21 - ON/OFF,,,,,,,,
CD PLAY 3,178,5 17,phantom3,,,,,,,,,
DSP +,253,5 18,phantom4,,,,,,,,,
DSP -,252,5 18,discreteON,,,,,,,,,
DDFD 3,049,5 12,discreteOFF,,,,,,,,,
DSP 2,063,5 12,phantom7,,,,,,,,,
VOLUME + 3,146,5 12,phantom8,,,,,,,,,
VOLUME - 3,147,5 12,phantom9,,,,,,,,,
DSP 4,191,5 12,phantom10,,,,,,,,,
DSP 5,198,5 12,setup,,,,,,,,,
DDFD 4,218,5 12,light,,,,,,,,,
DISPLAY 2,038,5 13,theater,,,,,,,,,
0 A,128,5 13,macro1,,,,,,,,,
1 A,129,5 13,macro2,,,,,,,,,
2 A,130,5 13,macro3,,,,,,,,,
3 A,131,5 13,macro4,,,,,,,,,
4 A,132,5 13,1s,,,,,,,,,
5 A,133,5 13,2s,,,,,,,,,
6 A,134,5 13,3s,,,,,,,,,
7 A,135,5 13,4s,,,,,,,,,
8 A,136,5 13,,,,,,,,,,
9 A,137,5 13,,,,,,,,,,
DIRECTION 2,149,5 14,,,,,,,,,,
DISPLAY 3,061,5 16,,,,,,,,,,
VOLUME - 4,147,5 16,,,,,,,,,,
VOLUME + 4,146,5 16,,,,,,,,,,
SLEEP 2,210,5 16,,,,,,,,,,
EFFECT 2,220,5 16,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
