Name:,Panasonic SA-HT15,,,,v9.22,,,,,,,,CURRENT DATA
000-001,001,0,1,20 - 1,,,,,,,,,15
vol up,032,0,2,21 - 2,,,,,,,,,16
vol down,033,0,3,22 - 3,,,,,,,,,17
mute,050,0,4,23 - 4,,,,,,,,,19
power,061,0,5,24 - 5,,,,,,,,,1A
discrete on,062,0,6,25 - 6,,,,,,,,,1B
discrete off,063,0,7,26 - 7,,,,,,,,,1C
input tuner,146,0,8,27 - 8,,,,,,,,,1D
000-148,148,0,9,28 - 9,,,,,,,,,1E
000-150,150,0,vol up,02 - vol up,,,,,,,,,04
input game/aux,154,0,vol down,03 - vol down,,,,,,,,,05
input tv alternate,156,0,mute,04 - mute,,,,,,,,,33
input vcr,158,0,channel up,30 - channel up,,,,,,,,,06
input tv,159,0,channel down,31 - channel down,,,,,,,,,07
input dvd,163,0,power,05 - power,,,,,,,,,03
analog/digital,168,0,,,,,,,,,,,
h. bass,201,0,,,,,,,,,,,
subwoofer,213,0,last,44 - surround channel levels,,,,,,,,,08
doctor,223,0,menu,38 - tone/balance,,,,,,,,,2E
,,,guide,46 - c. focus,,,,,,,,,21
1,016,4,up arrow,33 - tune+,,,,,,,,,29
2,017,4,down arrow,34 - tune-,,,,,,,,,2A
3,018,4,left arrow,43 - -/l,,,,,,,,,2B
4,019,4,right arrow,42 - +/r,,,,,,,,,2C
5,020,4,ok,41 - dolby prologic ii,,,,,,,,,2D
6,021,4,,,,,,,,,,,
7,022,4,pip on/off,47 - surround test,,,,,,,,,38
8,023,4,info,00 - display input,,,,,,,,,13
9,024,4,pip swap,,,,,,,,,,39
0,025,4,pip move,17 - h. bass,,,,,,,,,3A
channel up,052,4,play,08 - input tuner,,,,,,,,,0C
channel down,053,4,pause,36 - band,,,,,,,,,0F
enter,132,4,rewind,,,,,,,,,,0B
tune+,134,4,fast fwd,,,,,,,,,,0D
tune-,135,4,stop,,,,,,,,,,0E
direct tune,136,4,record,,,,,,,,,,10
band,164,4,exit,40 - effect off,,,,,,,,,14
,,,,,,,,,,,,,
sfc music,049,20,input,35 - direct tune,,,,,,,,,30
tone/balance,136,20,dash,32 - enter,,,,,,,,,20
sfc av/movie,160,20,fav,,,,,,,,,,22
effect off,174,20,,,,,,,,,,,
dolby prologic ii,178,20,,,,,,,,,,,
+/r,188,20,,,,,,,,,,,
-/l,189,20,,,,,,,,,,,
surround channel levels,190,20,,,,,,,,,,,
effect,191,20,,,,,,,,,,,
c. focus,243,20,,,,,,,,,,,
surround test,246,20,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,07 - discrete off,,,,,,,,,3F
,,,phantomF1,,,,,,,,,,F1
,,,phantomF2,,,,,,,,,,F2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,macro1,,,,,,,,,,34
,,,macro2,,,,,,,,,,36
,,,on demand,,,,,,,,,,35
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,pip channel up,,,,,,,,,,3B
,,,pip channel down,,,,,,,,,,3C
,,,page up,06 - discrete on,,,,,,,,,23
,,,page down,16 - analog/digital,,,,,,,,,24
,,,day+,,,,,,,,,,31
,,,day-,,,,,,,,,,32
,,,A/yellow,11 - input game/aux,,,,,,,,,25
,,,B/blue,14 - input tv,,,,,,,,,26
,,,C/red,13 - input vcr,,,,,,,,,27
,,,D/green,15 - input dvd,,,,,,,,,3D
,,,list,45 - effect,,,,,,,,,28
,,,skip back,37 - sfc music,,,,,,,,,37
,,,skip fwd,39 - sfc av/movie,,,,,,,,,3E
,,,live,,,,,,,,,,2F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,aspect,16 - analog/digital,,,,,,,,,18
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,CBL,,,,,,,,,,09
,,,TV,,,,,,,,,,01
,,,DVD,,,,,,,,,,0A
,,,AUD,,,,,,,,,,11
,,,(dev4),,,,,,,,,,12
,,,(dev5),,,,,,,,,,40
,,,(dev6),,,,,,,,,,41
,,,DVR,,,,,,,,,,42
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
