Name:,Sony MHC-MG310AV,,,,v7.29,,,,,,,CURRENT DATA
tv/vcr,,,tv/vcr,,,,,,,,,
last (prev ch),,,prev ch,,,,,,,,,
menu,088,1 26,Tivo menu,16 - menu,(Tuner/1042 dev1),,,,,,,
program guide,,,list,20 - display,,,,,,,,
up arrow,120,17,up arrow,12 - channel up,(Tuner/1042 dev1) works as disc+ in PGM mode,,,,,,,
down arrow,124,17,down arrow,13 - channel down,(Tuner/1042 dev1) works as disc- in PGM mode,,,,,,,
left arrow,,,left arrow,51 - disc-,,,,,,,,
right arrow,,,right arrow,50 - disc+,,,,,,,,
select,,,select,15 - enter,,,,,,,,
sleep,096,16,sleep,,*(Tuner/0158 dev1),,,,,,,
pip on/off,,,pip on/off,,,,,,,,,
display,075,16,display,,*(Tuner/0158 dev1),,,,,,,
pip swap,,,pip swap,,,,,,,,,
pip move,,,pip move,,,,,,,,,
play,061,16,play,21 - play,*(Tuner/0158 dev1),,,,,,,
pause,057,1 26,pause,22 - pause,*(Tuner/1042 dev1),,,,,,,
rewind,051,1 26,rewind,23 - rewind,*(Tuner/1042 dev1),,,,,,,
fast fwd,052,1 26,fast fwd,24 - fast fwd,*(Tuner/1042 dev1),,,,,,,
stop,056,1 26,stop,,*(Tuner/1042 dev1),,,,,,,
record,,,record,25 - stop,,,,,,,,
exit,,,clear,46 - clear,,,,,,,,
surround,063,12,surround,,*(CD/0000 dev2),,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
shift-up,,,advance,,,,,,,,,
shift-down,,,replay,,,,,,,,,
shift-left,,,guide/live tv,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,pip freeze,,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,thumbs up,49 - repeat,,,,,,,,
slow-,,,thumbs down,48 - play mode,,,,,,,,
X2,,,X2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
groove,122,16,phantom3,,*(Tuner/0158 dev1),,,,,,,
dbfb,049,12,phantom4,,*(CD/0000 dev2),,,,,,,
Dolby Pro Logic,057,12,phantom5,,*(CD/0000 dev2),,,,,,,
test tone,074,18,phantom6,,*(MiscAudio/0010 dev1) Dolby Pro Logic setup,,,,,,,
rear+,078,18,phantom7,,*(MiscAudio/0010 dev1) Dolby Pro Logic setup,,,,,,,
rear-,079,18,phantom8,,*(MiscAudio/0010 dev1) Dolby Pro Logic setup,,,,,,,
center+,084,18,phantom9,,*(MiscAudio/0010 dev1) Dolby Pro Logic setup,,,,,,,
center-,085,18,phantom10,,*(MiscAudio/0010 dev1) Dolby Pro Logic setup,,,,,,,
preset eq,124,18,setup,,(MiscAudio/0010 dev1),,,,,,,
function,105,12,light,,*(CD/0000 dev2) function/input toggle,,,,,,,
cd,037,16,theater,,*(Tuner/0158 dev1),,,,,,,
tuner/band,015,13,macro1,,*(Tuner/0158 dev2),,,,,,,
tape A/B,121,16,macro2,,*(Tuner/0158 dev1),,,,,,,
video (MD),105,16,macro3,,*(Tuner/0158 dev1),,,,,,,
5.1ch,125,16,macro4,,*(Tuner/0158 dev1),,,,,,,
game,124,16,learn1,,*(Tuner/0158 dev1),,,,,,,
timer select,098,16,learn2,,(Tuner/0158 dev1),,,,,,,
timer set,101,16,learn3,,(Tuner/0158 dev1),,,,,,,
scroll,076,16,learn4,,*(Tuner/0158 dev1),,,,,,,
clear,015,1 26,,,(Tuner/1042 dev1),,,,,,,
>10,013,1 26,,,(Tuner/1042 dev1),,,,,,,
play mode,040,1 26,,,*(Tuner/1042 dev1),,,,,,,
repeat,045,1 26,,,*(Tuner/1042 dev1),,,,,,,
disc+,062,17,,,*(CD/0000 dev1),,,,,,,
disc-,061,17,,,*(CD/0000 dev1),,,,,,,
play/reverse play,050,1 26,,,(Tuner/1042 dev1),,,,,,,
eq edit,119,1 26,,,(Tuner/1042 dev1),,,,,,,
,,,,,,,,,,,,
Sony TV Mute,020,1,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
